SPAC,Newco,Ticker,Announced,Closed,TEV ($M),TEV/IPO,Sector,Geography,Redeemed,Common,Warrant,Institutional Ownership,Chairman,CEO,President,COO,CFO,Director 1,Director 2,Director 3,Director 4,Director 5,Director 6,Director 7,Director 8,Director 9,Director 10,Director 11,Director 12,Director 13,Director 14,Director 15,Date +3mo,Date +6mo,Date +12mo,Date +0mo Price,Date +3mo Price,Date +6mo Price,Date +12mo Price
Barington/Hilco,N/A,,N/A,11/1/2018,,,,,100.00%,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,1/30/2019,4/30/2019,10/27/2019,#N/A,#N/A,#N/A,#N/A
Hennessy III,NRC Group,NRCG,9/21/2018,10/17/2018,748,289%,Industrial,Europe,81.60%,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,1/15/2019,4/15/2019,10/12/2019,#N/A,8.9,#N/A,#N/A
Gores II,Verra Mobility,VRRM,6/21/2018,10/17/2018,"2,404",601%,Technology,US/Canada,0.80%,$13.91 ,$4.79 ,81.5533,Jacob Kotzubei,"David Martin Roberts, MBA","David Martin Roberts, MBA",#N/A,Patricia D. Chiodo,Patrick J. Byrne,"Douglas L. Davis, MBA","Bryan L. Kelln, MBA","John H. Rexford, MBA","David Martin Roberts, MBA","Cynthia Ann Russo, CPA",,,,,,,,,,1/15/2019,4/15/2019,10/12/2019,#N/A,9.36,#N/A,#N/A
Osprey Energy,Falcon Minerals,FLMN,6/4/2018,8/23/2018,894,325%,Energy,US/Canada,88.70%,$4.48 ,$0.25 ,64.8438,"Claire R. Harvey, MBA",Daniel C. Herz,Daniel C. Herz,Michael J. Downs,"Bryan C. Gunderson, MBA",William D. Anderson,Jonathan R. Hamilton,Alan J. Hirshberg,Adam M. Jenkins,Steven R. Jones,"Eric Liaw, MBA",,,,,,,,,,11/21/2018,2/19/2019,8/18/2019,#N/A,8,#N/A,#N/A
Atlantic Acq,HF Group,HFFG,3/28/2018,8/22/2018,231,513%,Food,US/Canada,85.00%,$6.97 ,,14.4039,Russell Thomas Libby,Xiao Mou Zhang,#N/A,#N/A,Kong Hian Lee,"Xi Lin, MBA","Hong Wang, PhD",Xiao Mou Zhang,,,,,,,,,,,,,11/20/2018,2/18/2019,8/17/2019,#N/A,12.205,#N/A,#N/A
Origo Acq,N/A,,N/A,8/15/2018,,,,,100.00%,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,11/13/2018,2/11/2019,8/10/2019,#N/A,#N/A,#N/A,#N/A
TPG Pace Energy,EnerVest,MGY,3/20/2018,7/31/2018,"2,793",430%,Energy,US/Canada,0.00%,$11.14 ,,79.6246,"Stephen I. Chazen, PhD","Stephen I. Chazen, PhD","Stephen I. Chazen, PhD",Steve F. Millican,"Christopher G. Stavros, MBA",Arcilia C. Acosta,Angela M. Busch,"Edward P. Djerejian, PhD","James R. Larson, CPA",Dan F. Smith,"John B. Walker, MBA",,,,,,,,,,10/29/2018,1/27/2019,7/26/2019,#N/A,12.54,#N/A,#N/A
FinTech II,Intermex,IMXI,12/19/2017,7/26/2018,364,208%,Financial,US/Canada,28.20%,$14.75 ,,79.4003,Robert Lisy,Robert Lisy,Robert Lisy,Joseph Aguilar,Andras Q. Bende,"Adam P. Godfrey, MBA",Kurt E. Holstein,"Christopher B. Lofgren, PhD","Laura I Maydón, MBA","Michael J. Purcell, MBA, CPA",John B. Rincon,"Justin B. Wender, MBA",,,,,,,,,10/24/2018,1/22/2019,7/21/2019,#N/A,11.85,#N/A,#N/A
M I Acquisitions,Priority,PRTH,2/27/2018,7/25/2018,"1,000",1828%,Technology,US/Canada,7.20%,$7.07 ,$0.82 ,5.8414,"Thomas C. Priore, MBA","Thomas C. Priore, MBA","Thomas C. Priore, MBA",Anthony Bonventre,"Michael T. Vollkommer, CPA","Marietta C. Davis, MBA","Christina M. Favilla, MBA",Stephen W. Hipp,"Michael K. Passilla, MBA",John V. Priore,,,,,,,,,,,10/23/2018,1/21/2019,7/20/2019,#N/A,10.6,#N/A,#N/A
Electrum,N/A,,N/A,6/5/2018,,,,,100.00%,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,9/3/2018,12/2/2018,5/31/2019,#N/A,#N/A,#N/A,#N/A
NESR,NPS,NESR,11/13/2017,5/18/2018,"1,082",472%,Energy,EEMEA,8.40%,$12.88 ,$2.50 ,30.4961,Sherif Foda,Sherif Foda,#N/A,Salih Merghani,"Christopher L. Boone, MBA",Ahmed Khalifa M. Obaid Al-Mehairi,Nadhmi Al-Nasr,Yousef Mohamad Ali Nasser Al-Nowais,Antonio Jose Campo Mejia,"Andrew Lyndon Waite, MBA",Thomas D. Wood,Hala Zeibak,,,,,,,,,8/16/2018,11/14/2018,5/13/2019,#N/A,11.19,#N/A,#N/A
